# 'gammaray_to_be_skipped' is a list of pairs that stores all the pairs of 
# gate-and-spectra that (for some reasons) need to be skipped.
# Each pair should be inserted as GAMMARAY_ENERGY,GATE_ENERGY

2554.9,2063.2
2554.9,2380.7
667.3,211.3
404.26,211.3
404.26,1836.6
2554.9,211.3
2554.9,299.5
667.3,2154.6
2554.9,2154.6
667.3,2223.1
2554.9,2223.1
667.3,2282.2
2554.9,2282.2
2554.9,2499
2554.9,2957.6
667.3,3138.4
2554.9,3138.4
667.2,646.5
2554.9,646.5
667.3,7418.8
667.3,2852.9
2554.9,7418.8
3775.3,1250.2
3775.8,2527.4
1119.7,1520.2
475.2,1520.2
475.2,1524.4
475.2,1683.0
1214.74,1683.0
1119.7,1524.4
3775.3,1524.4
3775.3,1597.7
475.2,1771.9
3775.3,1771.9
3775.3,1816.3
475.2,1816.3
475.2,2158.5
1119.7,1816.3
3775.3,1998.6
1119.7,2896.7
3775.3,2896.7
475.2,703.4
1119.7,703.4
3775.3,703.4
3775.3,874.3
556.8,1016.9
1016.9,2527.4
556.8,3788.4
556.8,3191.0
556.8,2651.6
556.8,1993.1
556.8,1316.4
556.8,1374.8
556.8,1428.0
556.8,1481.7
869.47,1374.8
556.8,1658.8
556.8,3543.5
1630.4,3543.5
1630.4,1374.8
1630.4,1658.8
1630.4,1912.6
1630.4,1993.1
1374.8,5841.9
605.8,1374.8
605.8,1658.8
605.8,1428.0
605.8,1481.7
605.8,1819.3
556.8,1819.3
556.8,1860.2
605.8,1860.2
605.8,3184.1
605.8,3191.0
605.8,3788.4
605.8,2178.6
605.8,2685.1
605.8,2934.8
202.1,1428.0
202.1,1819.3
202.1,1993.1
202.1,2651.6
202.1,2685.1
1537.8,5397.8
2448.2,5397.8
5397.8,1537.8
1819.3,5397.8
1324.0,5397.8
202.1,1860.2
202.1,7215.8
202.1,1867.4
556.8,1867.4
556.8,2178.6
556.8,2297.5
202.1,2758.5
556.8,2758.5
556.8,3066.9
556.8,7215.8
651.07,3748.2
202.1,651.07
1630.4,651.07
202.1,670.4
202.1,2934.8
202.1,3006.8
202.1,3066.9
556.8,670.4
605.8,670.4
1630.4,670.4
1630.4,3006.8
1630.4,3066.9
1630.4,1867.4
211.3,1419.3
211.3,1984.1
211.3,2071.6
211.3,2289.2
2289.2,4919.9
1626.8,4919.9
211.3,2223.3
211.3,2642.8
211.3,2746.5
211.3,2891.1
211.3,3000.1
211.3,3231.2
211.3,3535.1
211.3,4391.5
299.5,1491.1
299.5,3398.6
299.5,2662.0
2662.0,4457.9
1727.5,2969.2
1727.5,3094.0
1727.5,3398.6
4196.1,1093.2
4196.1,3031.9
4196.1,2029.3
